Resource ARN,Service Type,Tags
arn:aws:backup:us-east-1:960341592570:recovery-point:9f9cdeef-f54e-46e9-b024-1b577c06a8b8,backup,{'Name': 'mysql-efs'}
arn:aws:backup:us-east-1:960341592570:recovery-point:af6abd17-0389-4b49-a520-e190372247cd,backup,{'Name': 'mysql-efs'}
arn:aws:backup:us-east-1:960341592570:recovery-point:e4b099cc-0b0c-4097-a272-9aa08cc2089e,backup,{'Name': 'mysql-efs'}
arn:aws:ec2:us-east-1:960341592570:instance/i-0187f0996e2811770,ec2,"{'aws:autoscaling:groupName': 'eks-task1-dev-us-east-1-daniel-katsenyuk-node-group-8cce47db-109c-2c1a-3cc3-e0b97400fcaf', 'aws:ec2:fleet-id': 'fleet-53243806-5bbd-43b6-2638-84aa70b0ff02', 'aws:eks:cluster-name': 'task1-dev-us-east-1-daniel-katsenyuk-cluster', 'kubernetes.io/cluster/task1-dev-us-east-1-daniel-katsenyuk-cluster': 'owned', 'k8s.io/cluster-autoscaler/task1-dev-us-east-1-daniel-katsenyuk-cluster': 'owned', 'eks:cluster-name': 'task1-dev-us-east-1-daniel-katsenyuk-cluster', 'aws:ec2launchtemplate:version': '1', 'eks:nodegroup-name': 'task1-dev-us-east-1-daniel-katsenyuk-node-group', 'k8s.io/cluster-autoscaler/enabled': 'true', 'aws:ec2launchtemplate:id': 'lt-04c5c24bef3aa67fc'}"
arn:aws:ec2:us-east-1:960341592570:network-interface/eni-05c8b06e4d0fa6e1d,ec2,"{'eks:eni:owner': 'amazon-vpc-cni', 'node.k8s.amazonaws.com/instance_id': 'i-0c8ccb640af951fa0', 'node.k8s.amazonaws.com/createdAt': '2026-03-09T12:44:13Z', 'cluster.k8s.amazonaws.com/name': 'task1-dev-us-east-1-daniel-katsenyuk-cluster'}"
arn:aws:ec2:us-east-1:960341592570:network-interface/eni-0d6d6f9ad28e212d2,ec2,"{'eks:eni:owner': 'amazon-vpc-cni', 'node.k8s.amazonaws.com/instance_id': 'i-0187f0996e2811770', 'node.k8s.amazonaws.com/createdAt': '2026-03-02T20:22:36Z', 'cluster.k8s.amazonaws.com/name': 'task1-dev-us-east-1-daniel-katsenyuk-cluster'}"
arn:aws:ec2:us-east-1:960341592570:security-group/sg-0d91f7ef0ea747cf6,ec2,"{'aws:eks:cluster-name': 'task1-dev-us-east-1-daniel-katsenyuk-cluster', 'kubernetes.io/cluster/task1-dev-us-east-1-daniel-katsenyuk-cluster': 'owned', 'Name': 'eks-cluster-sg-task1-dev-us-east-1-daniel-katsenyuk-cluster-1882733286'}"
arn:aws:ec2:us-east-1:960341592570:security-group/sg-0b1377af2385152e0,ec2,{'kubernetes.io/cluster/task1-dev-us-east-1-daniel-katsenyuk-cluster': 'owned'}
arn:aws:ec2:us-east-1:960341592570:security-group/sg-0f2321c3e8d7d818e,ec2,{'kubernetes.io/cluster/task1-dev-us-east-1-daniel-katsenyuk-cluster': 'owned'}
arn:aws:ec2:us-east-1:960341592570:volume/vol-0516b078fc26b32b5,ec2,"{'Owner': 'Daniel Katsenyuk', 'Account-level-resource': 'True', 'Module-Number': '4'}"
